PI,Rep ,2019_Flowering,2020_Flowering ,2019D1,2019D2,2020D1,2020D2,2019_AV.Plant height,2020_AV.Plant height ,AV.AC_Aug14_2019,AV.AC_Aug_28_2019,AV.AC_Aug11-2020,AV.AC_Aug18-2020,AV.2019&2020D1,AV.2019&2020D2,AV.2019
533902,1,63,71,1,4,3,4,90,66.7,499,0,349,499,2,4,
533902,2,66,76,1,2,3,3,95,101.7,25,25,58,299,2,2.5,
533903,1,59,64,2,4,3,6,95,78.3,216,8,399,1250,2.5,5,
533903,2,61,64,2,4,3,4,110,86.7,499,0,199,1000,2.5,4,
533910,1,54,52,4,5,4,6,95,91.7,1167,0,1333,1500,4,5.5,
533910,2,52,62,5,5,6,6,95,76.7,1000,0,666,1000,5.5,5.5,
533911,1,54,55,3,6,3,4,80,90,1166,0,1167,750,3,5,
533911,2,56,69,1,6,2,3,90,88.3,675,0,58,750,1.5,4.5,
533912,1,40,41,7,9,8,9,115,100,1167,0,1333,0,7.5,9,
533912,2,40,41,6,9,6,5,110,96.7,549,41,666,99,6,7,
533913,1,45,48,3,8,4,7,90,100,499,0,1333,1250,3.5,7.5,
533913,2,49,55,3,9,2,4,90,85,33,549,41,299,2.5,6.5,
533915,1,52,57,3,5,3,5,100,88.3,508,0,383,1500,3,5,
533915,2,52,55,2,5,3,5,115,108.3,33,533,232,1500,2.5,5,
533919,1,59,52,2,4,5,7,100,103.3,349,8,1000,750,3.5,5.5,
533919,2,59,59,3,4,3,5,105,105,1000,33,183,1000,3,4.5,
533921,1,56,55,3,6,4,7,105,60,666,25,566,1000,3.5,6.5,
533921,2,56,55,3,4,7,5,80,50,66,25,866,1250,5,4.5,
533924,1,56,62,2,4,3,4,100,93.3,183,8,383,1000,2.5,4,
533924,2,54,59,2,3,2,4,105,100,50,33,191,1000,2,3.5,
533934,1,52,52,2,8,6,7,60,65,183,8,1000,1000,4,7.5,
533934,2,59,62,3,3,5,7,65,70,41,0,1000,1000,4,5,
533936,1,59,52,3,6,3,7,85,76.7,516,0,833,1000,3,6.5,
533936,2,59,59,5,7,7,8,75,80,1000,0,1500,1500,6,7.5,
533939,1,54,NA,7,8,5,7,100,121.7,700,25,833,750,6,7.5,
533939,2,56,69,6,8,8,8,90,70,1333,25,1500,750,7,8,
533948,1,59,55,3,5,3,5,95,76.7,333,0,866,750,3,5,
533948,2,59,62,4,6,3,6,90,71.7,183,0,82,1500,3.5,6,
533949,1,45,43,5,8,7,7,95,91.7,666,0,1500,1250,6,7.5,
533949,2,45,57,3,5,4,5,90,75,208,25,232,1500,3.5,5,
533955,1,59,48,3,5,8,8,80,80,232,0,1333,750,5.5,6.5,
533955,2,49,48,3,7,3,5,80,80,25,500,199,1000,3,6,
533956,1,49,55,4,8,8,8,100,76.7,833,0,866,299,6,8,
533956,2,52,59,3,6,2,5,110,80,349,0,58,1000,2.5,5.5,
533957,1,52,52,2,7,3,4,105,65,1000,0,500,1000,2.5,5.5,
533957,2,49,55,2,4,2,5,80,66.7,41,50,33,1500,2,4.5,
533962,1,63,NA,3,8,NA,NA,115,NA,533,0,NA,NA,3,8,
533962,2,61,NA,4,7,NA,NA,120,NA,1008,58,NA,NA,4,7,
533964,1,59,71,2,6,3,8,90,66.7,842,8,1000,499,2.5,7,
533964,2,61,69,3,3,4,7,95,65,33,49,1333,1000,3.5,5,
533965,1,59,NA,2,7,NA,NA,110,NA,683,0,NA,NA,2,7,
533965,2,61,NA,2,6,NA,NA,100,NA,1166,0,NA,NA,2,6,
533967,1,61,NA,2,6,NA,NA,95,NA,1016,8,NA,NA,2,6,
533967,2,66,NA,4,5,NA,NA,90,NA,1500,166,NA,NA,4,5,
533970,1,61,62,2,7,4,7,95,68.3,1500,0,1500,1500,3,7,
533970,2,56,59,2,6,7,8,100,80,58,232,1500,1500,4.5,7,
