2019 Field,Rep ,2019 Entry,Pedigree,PI Number
2651,1,1670,SAP-124,576375
2652,1,1806,SC 1489,656089
2653,1,1774,Kuyuma,656044
2654,1,1828,IS 5590C,659753
2655,1,1832,RTAM428,656009
2656,1,1804,SC 1476,656087
2657,1,1568,SAP-230,533761
2658,1,1772,NSA440-Karper,656042
2659,1,1583,Culum Brick,533830
2660,1,1560,F.C.I. 4201,34911
2661,1,1644,"R3, 80",534155
2662,1,1597,Mendo,533912
2663,1,1727,Tx2741,655979
2664,1,1716,BTx640,642791
2665,1,1649,San Chi San,542718
2666,1,1606,Maja Abiad Q2/2/68,533949
2667,1,1669,SAP-325,576373
2668,1,1817,SC 833,656108
2669,1,1722,Spur feterita,655973
2670,1,1769,Jocoro,656039
2671,1,1768,IS 8525(j),656038
2672,1,1764,CE260-12-1-1,656032
2673,1,1700,SAP-138,597961
2674,1,1557,Dwarf Yellow Milo,24969
2675,1,1689,SAP-162,595718
2676,1,1751,Acme Broomcorn,656014
2677,1,1789,SC 170-6-17,656068
2678,1,1796,SC 1416,656077
2679,1,1750,94Q63,656013
2680,1,1830,Tx2783,656001
2681,1,1687,SAP-340,595699
2682,1,1558,IS 12661,276837
2683,1,1681,SAP-150,576425
2684,1,1682,SAP-129,576426
2685,1,1638,Akwu,534115
2686,1,1569,tambroro 7,533762
2687,1,1556,Feterita geshaish,152651
2688,1,1815,SC 639,656105
2689,1,1692,SAP-133,595740
2690,1,1778,Marupantse,656049
2691,1,1823,SC 332,656118
2692,1,1732,Martin,655987
2693,1,1808,SC 295,656093
2694,1,1573,Kodilib,533789
2695,1,1570,290 Feterita Shendi 2,533769
2696,1,1574,No. 1 Gambela,533792
2697,1,1765,60M,656033
2698,1,1652,A/BTX 631,552861
2699,1,1744,88V1080,656006
2700,1,1780,N250B,656052
2701,1,1753,B KS66,656016
2702,1,1604,AS 4055 N Kambwa,533939
2703,1,1683,Mashica,576428
2704,1,1565,IS 18684,533758
2705,1,1803,SC 1471,656086
2706,1,1667,Butivori,576359
2707,1,1795,SC 1271,656076
2708,1,1798,SC 1429,656080
2709,1,1685,Lula,576435
2710,1,1777,Malisor 84-7,656048
2711,1,1712,Tx2917,629040
2712,1,1602,"R3,121",533924
2713,1,1636,EC 21428 SB 63,534108
2714,1,1575,No. 5 Gambela,533794
2715,1,1730,Plainsman,655985
2716,1,1737,Deer,655995
2717,1,1827,IS 12623C,659695
2718,1,1797,SC 1426,656079
2719,1,1582,Bonkum,533824
2720,1,1572,SAP-263,533788
2721,1,1799,SC 1439,656081
2722,1,1628,450 Bori Light Brown,534047
2723,1,1770,K886,656040
2724,1,1718,Cowley,651492
2725,1,1762,58M,656030
2726,1,1659,Macia,565121
2727,1,1676,Kharuth Waragel,576390
2728,1,1809,SC 373,656095
2729,1,1653,A/BTxARG-1,561072
2730,1,1624,Brawley,533998
2731,1,1837,SC 451,533934
2732,1,1812,SC 498,656099
2733,1,1678,MN 708 (preconvered),576393
2734,1,1834,No. 5 Gambela,257599
2735,1,1614,2033Z-3,533970
2736,1,1598,Nyan Dok,533913
2737,1,1805,SC 1484,656088
2738,1,1587,255 Tirter,533866
2739,1,1703,SAP-158,597966
2740,1,1655,Sureno,561472
2741,1,1630,PL 47,534079
2742,1,1646,Rexx,534163
2743,1,1836,IS 13207,264453
2744,1,1561,K.3 Perimanjial Irungu Cholam,533750
2745,1,1694,SAP-157,595744
2746,1,1627,420 Kalatilansa,534046
2747,1,1747,RTAM428,656009
2748,1,1731,Caprock,655986
2749,1,1754,BTx2752,656018
2750,1,1743,RTX435,656004
2751,1,1661,BT-638,574455
2752,1,1785,P898012,656057
2753,1,1719,Rio,651496
2754,1,1818,SC 85,656109
2755,1,1612,SAP-148,533965
2756,1,1810,SC 391,656096
2757,1,1771,80M,656041
2758,1,1673,Mashica,576381
2759,1,1813,SC 500,656100
2760,1,1726,Tx2737,655978
2761,1,1699,SAP-197,597958
2762,1,1739,KS19,655998
2763,1,1825,Greenleaf,659692
2764,1,1623,Hamaisi 38,533996
2765,1,1738,R TX 431,655997
2766,1,1675,Awanlek,576387
2767,1,1645,"R4, B1",534157
2768,1,1755,BTx3042,656019
2769,1,1821,SC 1440,656115
2770,1,1816,SC 695,656106
2771,1,1601,"R1,38",533921
2772,1,1613,SB-283,533967
2773,1,1619,Huria White 621,533986
2774,1,1748,RTx2536,656010
2775,1,1584,Deburr,533831
2776,1,1564,Monshal,533757
2777,1,1688,SAP-139,595714
2778,1,1658,RTx434,564165
2779,1,1620,Kireniga 317,533987
2780,1,1657,RTx433,564164
2781,1,1684,Ex-Mubi,576434
2782,1,1782,N'Tenimissa,656054
2783,1,1566,Mugbash 56/56,533759
2784,1,1767,ICSV 401,656037
2785,1,1580,As4660 Kikuma,533821
2786,1,1711,RTx437,629034
2787,2,1668,Jowar Red Jankinagar,576366
2788,2,1815,SC 639,656105
2789,2,1722,Spur feterita,655973
2790,2,1654,A/BTx635,561073
2791,2,1657,RTx433,564164
2792,2,1623,Hamaisi 38,533996
2793,2,1824,SC 947,656121
2794,2,1630,PL 47,534079
2795,2,1765,60M,656033
2796,2,1789,SC 170-6-17,656068
2797,2,1635,EC 21361 G30,534105
2798,2,1606,Maja Abiad Q2/2/68,533949
2799,2,1609,MN 707 (prconverted),533957
2800,2,1813,SC 500,656100
2801,2,1816,SC 695,656106
2802,2,1589,M 1,533871
2803,2,1625,Jola Nandyal,534021
2804,2,1641,Budy,534137
2805,2,1631,SO 85,534096
2806,2,1675,Awanlek,576387
2807,2,1736,Tx 3197,655992
2808,2,1586,470 Oua Berr,533863
2809,2,1629,BE 25,534070
2810,2,1619,Huria White 621,533986
2811,2,1842,IS 84,675167
2812,2,1724,Wheatland,655975
2813,2,1658,RTx434,564165
2814,2,1830,Tx2783,656001
2815,2,1566,Mugbash 56/56,533759
2816,2,1572,SAP-263,533788
2817,2,1640,"No. 69 Mashela Tinguish, Warakul Ethiopi",534133
2818,2,1599,No. 755 Muzeba,533915
2819,2,1696,SAP-146,597949
2820,2,1759,Soberano,656026
2821,2,1812,SC 498,656099
2822,2,1645,"R4, B1",534157
2823,2,1741,BOK11,656002
2824,2,1788,Koro Kollo,656065
2825,2,1567,Zera Zera White,533760
2826,2,1659,Macia,565121
2827,2,1573,Kodilib,533789
2828,2,1614,2033Z-3,533970
2829,2,1818,SC 85,656109
2830,2,1733,Combine Kafir-60,655988
2831,2,1583,Culum Brick,533830
2832,2,1795,SC 1271,656076
2833,2,1665,SAP-341,576348
2834,2,1707,SAP-173,597980
2835,2,1771,80M,656041
2836,2,1620,Kireniga 317,533987
2837,2,1725,Red Kafir,655976
2838,2,1814,SC 621,656104
2839,2,1786,P9517,656058
2840,2,1763,CE151-262-A1,656031
2841,2,1698,SAP-151,597957
2842,2,1689,SAP-162,595718
2843,2,1688,SAP-139,595714
2844,2,1792,SC 1019,656071
2845,2,1601,"R1,38",533921
2846,2,1706,SAP-171,597973
2847,2,1628,450 Bori Light Brown,534047
2848,2,1602,"R3,121",533924
2849,2,1839,BTx623,564163
2850,2,1701,SAP-166,597964
2851,2,1674,SAP-347,576386
2852,2,1833,SC110,533794
2853,2,1588,Msumbji SB 117,533869
2854,2,1821,SC 1440,656115
2855,2,1802,SC 1465,656085
2856,2,1752,Ajabsido,656015
2857,2,1560,F.C.I. 4201,34911
2858,2,1716,BTx640,642791
2859,2,1667,Butivori,576359
2860,2,1593,"Orange No. 1, Baijo",533902
2861,2,1732,Martin,655987
