"Taxa","FLoweringtime","nSpad","Log_2019.2020_PH","Log_D1_2019.2020","Log_D2_2019.2020","Log_D1_2019.2020AC","Log_D2_2019.2020AC","GHD","NDVIAug25","NDREAug25","SAVI_Aug25"
"PI656041.C57CTACXX.2.2028",1.81,0,1.979902158,0.54,0.9,2.88,1.59,9,0.25,0.14,0.11
"PI656042.MERGE",1.79,3,1.925914439,0.6,0.72,2.81,2.9,8.2,0.42,0.27,0.16
"PI656043.C57CTACXX.2.2385",1.86,1,2.23552723,0.48,0.65,2.42,3.06,8.7,0.59,0.34,0.23
"PI656044.MERGE",1.85,1,2.020865112,0.6,0.78,2.88,2.8,8.7,0.5,0.29,0.14
"PI656046.C57CTACXX.2.1860",1.75,1,2.066814083,0.68,0.9,2.55,2.49,8.4,0.41,0.22,0.12
"PI656047.C57CTACXX.2.1954",1.85,7,2.363204658,0.51,0.6,2.03,2.92,7.2,0.63,0.42,0.31
"PI656048.C57CTACXX.8.11513",1.81,1,1.97675066,0.57,0.8,2.57,2.87,8.8,0.63,0.32,0.2
"PI656049.C57CTACXX.2.2341",1.75,7,2.120739053,0.6,0.76,2.83,2.88,7,0.58,0.44,0.23
"PI656051.C57CTACXX.2.1569",1.86,4,2.098998449,0.51,0.72,2.74,2.66,7.8,0.67,0.43,0.27
"PI656052.C57CTACXX.2.2320",1.75,3,1.887260495,0.7,0.74,3.05,2.65,8.3,0.42,0.25,0.15
"PI656053.C57CTACXX.1.1434",1.8,6,1.900612659,0.65,0.76,2.89,2.71,7.3,0.51,0.28,0.14
"PI656054.C57CTACXX.9.12304",1.91,1,2.436177142,0.63,0.68,2.71,2.56,8.6,0.4,0.24,0.13
"PI656055.C57CTACXX.2.1941",1.84,0,1.93906824,0.63,0.94,2.73,2.73,8.9,0.43,0.34,0.16
"PI656056.MERGE",1.81,0,2.053342965,0.48,0.74,2.48,2.84,9,0.48,0.29,0.18
"PI656057.MERGE",1.91,5,2.064509402,0.6,0.76,2.84,2.82,7.7,0.76,0.46,0.41
"PI656058.C57CTACXX.2.2294",1.75,6,1.997009763,0.76,0.81,2.91,2.79,7.1,0.4,0.26,0.14
"PI656060.C57CTACXX.9.12375",1.72,6,2.003941138,0.76,0.92,2.98,2.79,7.6,0.44,0.29,0.15
"PI656065.MERGE",1.76,7,2.117814922,0.76,0.9,2.93,2.32,6.8,0.28,0.16,0.13
"PI656068.C57CTACXX.2.2388",1.83,9,1.957134661,0.57,0.78,2.55,2.74,6.2,0.47,0.32,0.19
"PI656069.C57CTACXX.2.2214",1.87,3,1.882710679,0.48,0.72,2.71,2.71,8.2,0.69,0.46,0.24
"PI656070.MERGE",1.83,3,1.921491735,0.6,0.78,2.68,1.27,7.9,0.3,0.14,0.11
"PI656071.C57CTACXX.4.5310",1.83,6,1.965991388,0.63,0.81,2.75,2.79,7.7,0.6,0.36,0.21
"PI656072.C57CTACXX.3.3400",1.93,5,1.968426993,0.6,0.7,2.58,2.29,7.8,0.56,0.44,0.22
"PI656075.C57CTACXX.3.3699",1.8,2,2.008945416,0.63,0.78,2.98,2.88,8.8,0.61,0.41,0.26
"PI656076.C57CTACXX.4.4659",1.8,5,1.89009949,0.54,0.81,2.79,2.83,7.8,0.61,0.31,0.18
"PI656077.C57CTACXX.3.3756",1.69,7,2.083096358,0.83,0.93,3.06,2.88,7.1,0.58,0.4,0.25
"PI656079.C57CTACXX.3.3494",1.79,4,2.112589127,0.7,0.93,3.01,2.85,8.3,0.57,0.36,0.29
"PI656080.C57CTACXX.2.1981",1.75,0,1.986954467,0.74,0.92,3.08,2.84,9,0.35,0.23,0.14
"PI656081.C57CTACXX.2.2143",1.64,6,2.16351957,0.51,0.78,2.46,2.45,7.8,0.49,0.27,0.13
"PI656082.C57CTACXX.4.4615",1.79,2,1.945820221,0.7,0.88,3.11,2.65,8.4,0.47,0.23,0.14
"PI656083.C57CTACXX.2.2001",1.73,4,2.089896466,0.68,0.8,2.23,1.4,7.8,0.4,0.21,0.13
"PI656085.C57CTACXX.4.5437",1.74,5,1.860170248,0.72,0.92,2.96,2.79,7.9,0.35,0.33,0.14
"PI656086.C57CTACXX.2.2208",1.74,8,2.130430215,0.78,0.95,2.91,2.72,6.6,0.48,0.26,0.18
"PI656087.C57CTACXX.2.2368",1.68,5,1.959041392,0.74,0.89,2.57,2.72,7.9,0.34,0.22,0.14
"PI656088.C57CTACXX.1.1468",1.78,4,1.900866179,0.76,0.85,3.08,2.75,7.7,0.4,0.2,0.12
"PI656089.C57CTACXX.2.1643",1.7,6,2.076997155,0.78,0.94,2.9,2.83,7.7,0.57,0.31,0.15
"PI656091.C57CTACXX.8.11637",1.85,6,1.890631366,0.7,0.83,2.89,2.49,7.1,0.62,0.35,0.19
"PI656093.C57CTACXX.8.11748",1.77,1,2.076452377,0.6,0.8,2.44,2.79,8.9,0.53,0.27,0.16
"PI656095.C57CTACXX.8.11158",1.73,4,2.075191726,0.74,0.92,2.88,2.88,7.8,0.28,0.16,0.12
"PI656096.C57CTACXX.8.11044",1.72,4,1.944193589,0.51,0.8,2.33,1.4,8.3,0.32,0.16,0.11
"PI656097.C57CTACXX.3.4276",1.87,5,1.999157385,0.48,0.72,2.71,2.76,7.9,0.36,0.19,0.11
"PI656099.C57CTACXX.8.11629",1.86,1,2.201182284,0.57,0.78,2.74,2.87,8.8,0.51,0.33,0.18
"PI656100.C57CTACXX.8.11624",1.8,5,1.806091599,0.8,0.88,2.32,2.56,7.7,0.3,0.21,0.1
"PI656104.C57CTACXX.2.2893",1.69,2,1.963840903,0.78,0.98,2.84,2,8.8,0.34,0.18,0.1
"PI656105.C57CTACXX.3.3697",1.73,3,1.781897763,0.72,0.92,2.89,2.75,8.4,0.6,0.32,0.16
"PI656106.C57CTACXX.3.3129",1.81,5,1.979660314,0.63,0.83,2.64,2.29,7.6,0.44,0.24,0.13
"PI656108.C57CTACXX.3.3095",1.69,9,1.960559488,0.76,0.86,3,2.73,6.9,0.38,0.21,0.15
"PI656109.C57CTACXX.8.12203",1.66,10,1.858233051,0.8,0.99,2.74,2.27,6.5,0.35,0.18,0.1
"PI656110.C57CTACXX.8.11659",1.75,8,1.749079487,0.81,1,2.93,1.4,6.3,0.21,0.14,0.1
"PI656111.MERGE",1.75,0,2.054890484,0.74,0.81,3.07,0.49,9,0.27,0.13,0.1
"PI656115.MERGE",1.72,0,2.10882092,0.81,0.98,2.92,0.91,9,0.31,0.16,0.11
"PI656116.C57CTACXX.4.4742",1.62,0,2.00643727,0.8,0.95,2.81,1.88,9,0.38,0.21,0.1
"PI656118.C57CTACXX.3.4266",1.76,1,1.98407018,0.72,0.88,3.08,2.79,8.6,0.54,0.28,0.15
"PI656121.MERGE",1.69,3,2.074517997,0.65,0.86,2.3,2.32,7.9,0.61,0.43,0.28
"PI659692.C57CTACXX.3.4166",1.79,NA,2.228304464,0.48,0.88,2.37,1.25,NA,NA,NA,NA
"PI659695.C57CTACXX.4.5411",1.75,0,2.016597913,0.74,0.88,2.92,2.7,9,0.38,0.22,0.17
"PI659753.C57CTACXX.3.4411",1.88,5,2.213715603,0.48,0.6,1.89,2.73,7.1,0.73,0.51,0.4
"SAP_Grif578",1.86,NA,2.115386196,0.65,0.78,2.88,2.79,NA,0.6,0.32,0.17
"SAP_PI264453",1.87,4,2.389037018,0.8,0.9,2.98,2.76,7.6,0.33,0.22,0.12
"SAP_PI533934",1.76,4,1.819063728,0.7,0.86,2.74,2.7,7.4,0.55,0.35,0.17
"SAP_PI550607",1.77,1,2.380543628,0.6,0.83,2.95,2.95,8.8,0.31,0.21,0.14
"SAP_PI607900",1.78,1,1.88381129,0.65,0.85,3.09,2.54,8.9,0.47,0.37,0.19
"SAP_PI644294",1.78,3,1.997283456,0.7,0.86,3.02,2.29,8,0.52,0.27,0.16
"SAP_PI675167",1.81,1,2.012068024,0.65,0.85,2.91,2.84,8.7,0.49,0.3,0.16
