"Taxa","FLoweringtime","nSpad","Log_2019.2020_PH","Log_D1_2019.2020","Log_D2_2019.2020","Log_D1_2019.2020AC","Log_D2_2019.2020AC","GHD","NDVIAug25","NDREAug25","SAVI_Aug25"
"PI533949.MERGE",1.69,0,1.94832779,0.76,0.86,2.69,2.84,9,0.48,0.31,0.17
"PI533955.C57CTACXX.3.3693",1.72,0,1.908485019,0.72,0.86,2.47,2.73,9,0.45,0.25,0.13
"PI533956.C57CTACXX.3.3243",1.74,0,1.962138939,0.72,0.89,2.62,2.44,9,0.39,0.24,0.13
"PI533957.C57CTACXX.8.11187",1.72,0,1.895944282,0.51,0.78,2.23,2.79,9,0.26,0.2,0.1
"PI533962.C57CTACXX.8.11061",1.8,0,2.07362168,0.65,0.93,2.87,0.88,9,0.36,0.17,0.13
"PI533964.C57CTACXX.3.3642",1.82,0,1.897824717,0.6,0.85,2.9,2.56,9,0.56,0.28,0.15
"PI533965.C57CTACXX.8.11653",1.79,0,2.024822176,0.48,0.88,2.95,0,9,0.17,0.15,0.07
"PI533967.C57CTACXX.3.3547",1.81,0,1.970656313,0.6,0.81,3.09,1.6,9,0.16,0.15,0.08
"PI533970.C57CTACXX.3.3947",1.78,0,1.934660797,0.68,0.9,3.03,2.91,9,0.38,0.21,0.16
"PI533976.C57CTACXX.3.3079",1.8,2,1.842935982,0.68,0.86,3.02,2.64,8.4,0.58,0.3,0.16
"PI533979.C57CTACXX.3.3512",1.72,0,2.01135179,0.57,0.83,2.65,2.74,9,0.51,0.31,0.14
"PI533980.C57CTACXX.3.3599",1.76,1,1.891717256,0.78,0.89,3.14,2.84,8.8,0.46,0.24,0.13
"PI533985.C57CTACXX.3.3267",1.83,0,1.981976308,0.57,0.81,2.91,2.25,8.9,0.27,0.14,0.1
"PI533986.C57CTACXX.8.11164",1.76,1,1.925546816,0.6,0.78,2.77,2.86,8.7,0.48,0.34,0.15
"PI533987.C57CTACXX.3.3752",1.66,1,1.970780311,0.76,0.89,2.74,2.09,8.5,0.36,0.18,0.11
"PI533989.C57CTACXX.8.12036",1.78,0,2.004321374,0.7,0.88,3.05,2.37,8.9,0.24,0.12,0.09
"PI533991.C57CTACXX.3.4498",1.78,1,1.984929817,0.7,0.8,2.98,2.95,8.9,0.61,0.37,0.23
"PI533996.C57CTACXX.3.3315",1.7,0,1.934217503,0.63,0.83,2.47,2.79,9,0.41,0.26,0.17
"PI533998.MERGE",1.72,0,1.847159692,0.76,0.93,2.98,2.88,9,0.37,0.22,0.16
"PI534021.C57CTACXX.3.3681",1.79,1,1.841322705,0.7,0.76,2.98,2.8,8.8,0.49,0.3,0.16
"PI534028.C57CTACXX.8.12087",1.8,0,1.920448533,0.6,0.86,2.81,2.64,8.7,0.26,0.16,0.12
"PI534046.MERGE",1.73,0,1.865496178,0.81,0.9,3.03,2.65,9,0.35,0.23,0.12
"PI534047.C57CTACXX.3.4325",1.64,1,1.996767457,0.76,0.95,2.94,2.88,8.7,0.37,0.23,0.18
"PI534070.C57CTACXX.8.11311",1.67,1,2.006543505,0.54,0.89,2.33,2.14,8.5,0.31,0.17,0.18
