Taxa	NDVIAug25	NDREAug25	SAVI_Aug25
PI576348.C57CTACXX.3.3952	0.43	0.25	0.14
PI576352.C57CTACXX.2.3063	0.33	0.19	0.15
PI576359.C57CTACXX.2.2942	0.44	0.38	0.17
PI576366.C57CTACXX.3.3904	0.29	0.15	0.14
PI576373.C57CTACXX.2.2719	0.59	0.32	0.16
PI576375.C57CTACXX.3.3372	0.38	0.24	0.12
PI576376.C57CTACXX.3.3820	0.31	0.22	0.11
PI576380.C57CTACXX.4.4613	0.41	0.28	0.16
PI576381.C57CTACXX.3.3838	0.45	0.38	0.18
PI576386.C57CTACXX.4.5099	0.58	0.33	0.24
PI576387.C57CTACXX.3.3268	0.6	0.34	0.29
PI576390.C57CTACXX.8.11364	0.27	0.2	0.09
PI576391.C57CTACXX.8.11028	0.36	0.18	0.12
PI576393.C57CTACXX.8.11903	0.51	0.28	0.14
PI576418.C57CTACXX.3.3862	0.66	0.38	0.19
PI576422.C57CTACXX.2.3062	0.18	0.16	0.08
PI576425.C57CTACXX.2.2644	0.48	0.26	0.13
PI576426.C57CTACXX.2.2428	0.52	0.31	0.14
PI576428.C57CTACXX.3.3834	0.57	0.39	0.21
PI576434.MERGE	0.5	0.32	0.2
PI576435.C57CTACXX.3.3429	0.42	0.33	0.14
PI585291.C57CTACXX.2.1772	0.6	0.3	0.17
PI595699.C57CTACXX.2.2555	0.32	0.22	0.1
PI595714.C57CTACXX.3.3563	0.47	0.29	0.19
PI595718.C57CTACXX.2.2920	0.43	0.23	0.1
PI595720.C57CTACXX.3.3529	0.29	0.19	0.13
PI595739.C57CTACXX.3.3218	0.58	0.34	0.22
PI595740.C57CTACXX.4.5730	0.57	0.41	0.25
PI595741.C57CTACXX.2.2435	0.36	0.18	0.11
PI595744.C57CTACXX.3.3344	0.65	0.39	0.22
PI597945.C57CTACXX.3.3466	0.29	0.16	0.11
PI597949.C57CTACXX.3.3620	0.64	0.35	0.31
PI597952.C57CTACXX.2.2441	0.24	0.17	0.09
PI597957.C57CTACXX.3.3617	0.45	0.24	0.12
PI597958.C57CTACXX.2.1721	0.48	0.3	0.15
PI597961.C57CTACXX.3.3100	0.39	0.36	0.16
PI597964.C57CTACXX.2.2423	0.52	0.32	0.25
PI597965.MERGE	0.3	0.23	0.08
PI597966.C57CTACXX.2.2952	0.31	0.16	0.1
PI597968.C57CTACXX.2.3017	0.18	0.16	0.07
PI597971.C57CTACXX.4.4912	0.61	0.39	0.26
PI597973.C57CTACXX.3.3319	0.51	0.3	0.15
PI597980.MERGE	0.45	0.27	0.19
PI601816.C57CTACXX.2.1647	0.52	0.3	0.21
PI609456.C57CTACXX.4.5670	0.49	0.3	0.23
PI613536.C57CTACXX.8.11153	0.41	0.25	0.13
PI629034.C57CTACXX.1.1329	0.58	0.36	0.2
PI629040.C57CTACXX.2.2149	0.45	0.37	0.18
PI629059.MERGE	0.43	0.31	0.14
PI641824.MERGE	0.41	0.25	0.19
PI641874.C57CTACXX.4.5289	0.37	0.26	0.12
PI642791.MERGE	0.54	0.29	0.15
PI642992.C57CTACXX.2.1875	0.59	0.34	0.15
PI651492.C57CTACXX.4.5162	0.78	0.45	0.36
PI651496.MERGE	0.56	0.29	0.15
PI655970.MERGE	0.54	0.29	0.15
PI655971.C57CTACXX.4.5812	0.25	0.12	0.09
PI655973.C57CTACXX.2.2002	0.26	0.17	0.11
PI655974.C57CTACXX.2.1795	0.55	0.28	0.16
PI655975.C57CTACXX.4.5204	0.44	0.26	0.17
PI655976.C57CTACXX.1.1431	0.37	0.24	0.15
PI655978.MERGE	0.27	0.15	0.11
PI655979.MERGE	0.6	0.31	0.17
PI655982.C57CTACXX.4.4672	0.57	0.35	0.24
PI655984.C57CTACXX.2.2317	0.53	0.32	0.2
PI655985.C57CTACXX.1.1472	0.49	0.31	0.18
PI655986.C57CTACXX.2.2316	0.45	0.25	0.17
PI655987.C57CTACXX.8.11105	0.44	0.24	0.12
PI655988.C57CTACXX.2.1752	0.51	0.27	0.13
PI655989.C57CTACXX.2.1788	0.54	0.28	0.14
PI655991.C57CTACXX.2.1609	0.44	0.23	0.11
PI655992.C57CTACXX.2.1664	0.4	0.26	0.16
PI655995.C57CTACXX.2.1924	0.3	0.2	0.09
PI655997.C57CTACXX.2.2206	0.4	0.21	0.12
PI655998.C57CTACXX.8.12268	0.26	0.16	0.11
PI656001.C57CTACXX.2.2394	0.65	0.4	0.28
PI656002.C57CTACXX.9.12342	0.47	0.24	0.13
PI656003.C57CTACXX.2.2116	0.61	0.32	0.26
PI656004.C57CTACXX.4.5246	0.46	0.31	0.19
PI656006.MERGE	0.32	0.19	0.13
PI656007.C57CTACXX.9.12445	0.43	0.25	0.13
PI656008.C57CTACXX.9.12369	0.51	0.27	0.25
PI656009.MERGE	0.5	0.29	0.16
PI656010.C57CTACXX.2.2309	0.2	0.13	0.08
PI656011.C57CTACXX.2.1648	0.62	0.34	0.18
PI656013.C57CTACXX.1.1483	0.34	0.23	0.14
PI656014.C57CTACXX.2.1789	0.23	0.14	0.09
PI656015.MERGE	0.36	0.25	0.17
PI656016.C57CTACXX.1.1519	0.54	0.33	0.16
PI656018.C57CTACXX.2.1980	0.49	0.26	0.2
PI656019.C57CTACXX.2.2173	0.42	0.22	0.11
PI656022.C57CTACXX.1.1481	0.21	0.13	0.08
PI656024.C57CTACXX.3.4395	0.61	0.35	0.24
PI656025.MERGE	0.3	0.2	0.11
PI656026.MERGE	0.58	0.37	0.24
PI656027.C57CTACXX.2.1740	0.54	0.35	0.18
PI656028.C57CTACXX.1.1512	0.38	0.35	0.13
PI656030.C57CTACXX.2.2338	0.32	0.18	0.12
PI656031.C57CTACXX.2.1728	0.63	0.41	0.25
PI656032.C57CTACXX.2.2080	0.28	0.21	0.11
PI656033.C57CTACXX.2.1884	0.38	0.19	0.12
PI656034.C57CTACXX.2.1574	0.44	0.31	0.14
PI656037.C57CTACXX.2.1754	0.61	0.34	0.26
PI656038.C57CTACXX.2.2010	0.41	0.22	0.09
PI656039.C57CTACXX.9.12712	0.59	0.33	0.28
PI656040.C57CTACXX.9.12476	0.57	0.3	0.16
PI656041.C57CTACXX.2.2028	0.25	0.14	0.11
PI656042.MERGE	0.42	0.27	0.16
PI656043.C57CTACXX.2.2385	0.59	0.34	0.23
PI656044.MERGE	0.5	0.29	0.14
PI656046.C57CTACXX.2.1860	0.41	0.22	0.12
PI656047.C57CTACXX.2.1954	0.63	0.42	0.31
PI656048.C57CTACXX.8.11513	0.63	0.32	0.2
PI656049.C57CTACXX.2.2341	0.58	0.44	0.23
PI656051.C57CTACXX.2.1569	0.67	0.43	0.27
PI656052.C57CTACXX.2.2320	0.42	0.25	0.15
PI656053.C57CTACXX.1.1434	0.51	0.28	0.14
PI656054.C57CTACXX.9.12304	0.4	0.24	0.13
PI656055.C57CTACXX.2.1941	0.43	0.34	0.16
PI656056.MERGE	0.48	0.29	0.18
PI656057.MERGE	0.76	0.46	0.41
PI656058.C57CTACXX.2.2294	0.4	0.26	0.14
PI656060.C57CTACXX.9.12375	0.44	0.29	0.15
PI656065.MERGE	0.28	0.16	0.13
PI656068.C57CTACXX.2.2388	0.47	0.32	0.19
PI656069.C57CTACXX.2.2214	0.69	0.46	0.24
PI656070.MERGE	0.3	0.14	0.11
PI656071.C57CTACXX.4.5310	0.6	0.36	0.21
PI656072.C57CTACXX.3.3400	0.56	0.44	0.22
PI656075.C57CTACXX.3.3699	0.61	0.41	0.26
PI656076.C57CTACXX.4.4659	0.61	0.31	0.18
PI656077.C57CTACXX.3.3756	0.58	0.4	0.25
PI656079.C57CTACXX.3.3494	0.57	0.36	0.29
PI656080.C57CTACXX.2.1981	0.35	0.23	0.14
PI656081.C57CTACXX.2.2143	0.49	0.27	0.13
PI656082.C57CTACXX.4.4615	0.47	0.23	0.14
PI656083.C57CTACXX.2.2001	0.4	0.21	0.13
PI656085.C57CTACXX.4.5437	0.35	0.33	0.14
PI656086.C57CTACXX.2.2208	0.48	0.26	0.18
PI656087.C57CTACXX.2.2368	0.34	0.22	0.14
PI656088.C57CTACXX.1.1468	0.4	0.2	0.12
PI656089.C57CTACXX.2.1643	0.57	0.31	0.15
PI656091.C57CTACXX.8.11637	0.62	0.35	0.19
PI656093.C57CTACXX.8.11748	0.53	0.27	0.16
PI656095.C57CTACXX.8.11158	0.28	0.16	0.12
PI656096.C57CTACXX.8.11044	0.32	0.16	0.11
PI656097.C57CTACXX.3.4276	0.36	0.19	0.11
PI656099.C57CTACXX.8.11629	0.51	0.33	0.18
PI656100.C57CTACXX.8.11624	0.3	0.21	0.1
PI656104.C57CTACXX.2.2893	0.34	0.18	0.1
PI656105.C57CTACXX.3.3697	0.6	0.32	0.16
PI656106.C57CTACXX.3.3129	0.44	0.24	0.13
PI656108.C57CTACXX.3.3095	0.38	0.21	0.15
PI656109.C57CTACXX.8.12203	0.35	0.18	0.1
PI656110.C57CTACXX.8.11659	0.21	0.14	0.1
PI656111.MERGE	0.27	0.13	0.1
PI656115.MERGE	0.31	0.16	0.11
PI656116.C57CTACXX.4.4742	0.38	0.21	0.1
PI656118.C57CTACXX.3.4266	0.54	0.28	0.15
PI656121.MERGE	0.61	0.43	0.28
PI659692.C57CTACXX.3.4166	NA	NA	NA
PI659695.C57CTACXX.4.5411	0.38	0.22	0.17
PI659753.C57CTACXX.3.4411	0.73	0.51	0.4
SAP_Grif578	0.6	0.32	0.17
SAP_PI264453	0.33	0.22	0.12
SAP_PI533934	0.55	0.35	0.17
SAP_PI550607	0.31	0.21	0.14
SAP_PI607900	0.47	0.37	0.19
SAP_PI644294	0.52	0.27	0.16
SAP_PI675167	0.49	0.3	0.16
