Taxa	GHD
PI641874.C57CTACXX.4.5289	8.5
PI642791.MERGE	9
PI642992.C57CTACXX.2.1875	9
PI651492.C57CTACXX.4.5162	8.5
PI651496.MERGE	8.7
PI655970.MERGE	8.8
PI655971.C57CTACXX.4.5812	9
PI655973.C57CTACXX.2.2002	8.1
PI655974.C57CTACXX.2.1795	8.9
PI655975.C57CTACXX.4.5204	9
PI655976.C57CTACXX.1.1431	8.6
PI655978.MERGE	9
PI655979.MERGE	7.5
PI655982.C57CTACXX.4.4672	8.5
PI655984.C57CTACXX.2.2317	9
PI655985.C57CTACXX.1.1472	7.7
PI655986.C57CTACXX.2.2316	7.7
PI655987.C57CTACXX.8.11105	7.5
PI655988.C57CTACXX.2.1752	8.4
PI655989.C57CTACXX.2.1788	NA
PI655991.C57CTACXX.2.1609	8.2
PI655992.C57CTACXX.2.1664	8.8
PI655995.C57CTACXX.2.1924	9
PI655997.C57CTACXX.2.2206	9
PI655998.C57CTACXX.8.12268	7.8
PI656001.C57CTACXX.2.2394	NA
PI656002.C57CTACXX.9.12342	8
PI656003.C57CTACXX.2.2116	8.8
PI656004.C57CTACXX.4.5246	9
PI656006.MERGE	9
PI656007.C57CTACXX.9.12445	8.4
PI656008.C57CTACXX.9.12369	9
PI656009.MERGE	9
PI656010.C57CTACXX.2.2309	8.7
PI656011.C57CTACXX.2.1648	8.5
PI656013.C57CTACXX.1.1483	8.7
PI656014.C57CTACXX.2.1789	8.6
PI656015.MERGE	8.4
PI656016.C57CTACXX.1.1519	NA
PI656018.C57CTACXX.2.1980	8.2
PI656019.C57CTACXX.2.2173	7.9
PI656022.C57CTACXX.1.1481	9
PI656024.C57CTACXX.3.4395	9
PI656025.MERGE	9
PI656026.MERGE	8
PI656027.C57CTACXX.2.1740	8.5
PI656028.C57CTACXX.1.1512	7.3
PI656030.C57CTACXX.2.2338	9
PI656031.C57CTACXX.2.1728	7
PI656032.C57CTACXX.2.2080	8.8
PI656033.C57CTACXX.2.1884	8.6
PI656034.C57CTACXX.2.1574	9
PI656037.C57CTACXX.2.1754	8.9
PI656038.C57CTACXX.2.2010	8.7
PI656039.C57CTACXX.9.12712	9
PI656040.C57CTACXX.9.12476	8.7
PI656041.C57CTACXX.2.2028	9
PI656042.MERGE	8.2
PI656043.C57CTACXX.2.2385	8.7
PI656044.MERGE	8.7
PI656046.C57CTACXX.2.1860	8.4
PI656047.C57CTACXX.2.1954	7.2
PI656048.C57CTACXX.8.11513	8.8
PI656049.C57CTACXX.2.2341	7
PI656051.C57CTACXX.2.1569	7.8
PI656052.C57CTACXX.2.2320	8.3
PI656053.C57CTACXX.1.1434	7.3
PI656054.C57CTACXX.9.12304	8.6
PI656055.C57CTACXX.2.1941	8.9
PI656056.MERGE	9
PI656057.MERGE	7.7
PI656058.C57CTACXX.2.2294	7.1
PI656060.C57CTACXX.9.12375	7.6
PI656065.MERGE	6.8
PI656068.C57CTACXX.2.2388	6.2
PI656069.C57CTACXX.2.2214	8.2
PI656070.MERGE	7.9
PI656071.C57CTACXX.4.5310	7.7
PI656072.C57CTACXX.3.3400	7.8
PI656075.C57CTACXX.3.3699	8.8
PI656076.C57CTACXX.4.4659	7.8
PI656077.C57CTACXX.3.3756	7.1
PI656079.C57CTACXX.3.3494	8.3
PI656080.C57CTACXX.2.1981	9
PI656081.C57CTACXX.2.2143	7.8
PI656082.C57CTACXX.4.4615	8.4
PI656083.C57CTACXX.2.2001	7.8
PI656085.C57CTACXX.4.5437	7.9
PI656086.C57CTACXX.2.2208	6.6
PI656087.C57CTACXX.2.2368	7.9
PI656088.C57CTACXX.1.1468	7.7
PI656089.C57CTACXX.2.1643	7.7
PI656091.C57CTACXX.8.11637	7.1
PI656093.C57CTACXX.8.11748	8.9
PI656095.C57CTACXX.8.11158	7.8
PI656096.C57CTACXX.8.11044	8.3
PI656097.C57CTACXX.3.4276	7.9
PI656099.C57CTACXX.8.11629	8.8
PI656100.C57CTACXX.8.11624	7.7
PI656104.C57CTACXX.2.2893	8.8
PI656105.C57CTACXX.3.3697	8.4
PI656106.C57CTACXX.3.3129	7.6
PI656108.C57CTACXX.3.3095	6.9
PI656109.C57CTACXX.8.12203	6.5
PI656110.C57CTACXX.8.11659	6.3
PI656111.MERGE	9
PI656115.MERGE	9
PI656116.C57CTACXX.4.4742	9
PI656118.C57CTACXX.3.4266	8.6
PI656121.MERGE	7.9
PI659692.C57CTACXX.3.4166	NA
PI659695.C57CTACXX.4.5411	9
PI659753.C57CTACXX.3.4411	7.1
SAP_Grif578	NA
SAP_PI264453	7.6
SAP_PI533934	7.4
SAP_PI550607	8.8
SAP_PI607900	8.9
SAP_PI644294	8
SAP_PI675167	8.7
