Taxa	Log_D1_2019&2020	Log_D2_2019&2020
PI576428.C57CTACXX.3.3834	0.4	0.68
PI576434.MERGE	0.57	0.83
PI576435.C57CTACXX.3.3429	0.6	0.83
PI585291.C57CTACXX.2.1772	0.54	0.72
PI595699.C57CTACXX.2.2555	0.72	0.85
PI595714.C57CTACXX.3.3563	0.81	0.89
PI595718.C57CTACXX.2.2920	0.89	0.98
PI595720.C57CTACXX.3.3529	0.86	0.92
PI595739.C57CTACXX.3.3218	0.6	0.72
PI595740.C57CTACXX.4.5730	0.81	0.86
PI595741.C57CTACXX.2.2435	0.68	0.88
PI595744.C57CTACXX.3.3344	0.63	0.74
PI597945.C57CTACXX.3.3466	0.81	0.98
PI597949.C57CTACXX.3.3620	0.54	0.8
PI597952.C57CTACXX.2.2441	0.72	0.86
PI597957.C57CTACXX.3.3617	0.74	0.89
PI597958.C57CTACXX.2.1721	0.78	0.88
PI597961.C57CTACXX.3.3100	0.68	0.85
PI597964.C57CTACXX.2.2423	0.44	0.54
PI597965.MERGE	0.7	0.9
PI597966.C57CTACXX.2.2952	0.68	0.93
PI597968.C57CTACXX.2.3017	0.63	0.92
PI597971.C57CTACXX.4.4912	0.57	0.78
PI597973.C57CTACXX.3.3319	0.85	0.92
PI597980.MERGE	0.76	0.92
PI601816.C57CTACXX.2.1647	0.6	0.78
PI609456.C57CTACXX.4.5670	0.76	0.85
PI613536.C57CTACXX.8.11153	0.63	0.83
PI629034.C57CTACXX.1.1329	0.54	0.7
PI629040.C57CTACXX.2.2149	0.57	0.78
PI629059.MERGE	0.6	0.72
PI641824.MERGE	0.65	0.8
PI641874.C57CTACXX.4.5289	0.6	0.86
PI642791.MERGE	0.78	0.88
PI642992.C57CTACXX.2.1875	0.6	0.88
PI651492.C57CTACXX.4.5162	0.51	0.68
PI651496.MERGE	0.68	0.78
PI655970.MERGE	0.72	0.88
PI655971.C57CTACXX.4.5812	0.8	0.9
PI655973.C57CTACXX.2.2002	0.8	0.92
PI655974.C57CTACXX.2.1795	0.65	0.78
PI655975.C57CTACXX.4.5204	0.7	0.83
PI655976.C57CTACXX.1.1431	0.8	0.83
PI655978.MERGE	0.6	0.88
PI655979.MERGE	0.54	0.8
PI655982.C57CTACXX.4.4672	0.51	0.74
PI655984.C57CTACXX.2.2317	0.72	0.86
PI655985.C57CTACXX.1.1472	0.65	0.81
PI655986.C57CTACXX.2.2316	0.78	0.92
PI655987.C57CTACXX.8.11105	0.7	0.92
PI655988.C57CTACXX.2.1752	0.74	0.89
PI655989.C57CTACXX.2.1788	0.7	0.85
PI655991.C57CTACXX.2.1609	0.8	0.86
PI655992.C57CTACXX.2.1664	0.76	0.86
PI655995.C57CTACXX.2.1924	0.72	0.89
PI655997.C57CTACXX.2.2206	0.74	0.88
PI655998.C57CTACXX.8.12268	0.7	0.85
PI656001.C57CTACXX.2.2394	NA	NA
PI656002.C57CTACXX.9.12342	0.6	0.78
PI656003.C57CTACXX.2.2116	0.74	0.85
PI656004.C57CTACXX.4.5246	0.44	0.72
PI656006.MERGE	0.7	0.88
PI656007.C57CTACXX.9.12445	0.7	0.86
PI656008.C57CTACXX.9.12369	0.63	0.76
PI656009.MERGE	0.35	0.54
PI656010.C57CTACXX.2.2309	0.7	0.9
PI656011.C57CTACXX.2.1648	0.68	0.76
PI656013.C57CTACXX.1.1483	0.68	0.85
PI656014.C57CTACXX.2.1789	0.81	0.92
PI656015.MERGE	0.74	0.88
PI656016.C57CTACXX.1.1519	0.68	0.81
PI656018.C57CTACXX.2.1980	0.86	0.93
PI656019.C57CTACXX.2.2173	0.78	0.93
PI656022.C57CTACXX.1.1481	0.6	0.85
PI656024.C57CTACXX.3.4395	0.6	0.78
PI656025.MERGE	0.7	0.9
PI656026.MERGE	0.51	0.65
PI656027.C57CTACXX.2.1740	0.6	0.81
PI656028.C57CTACXX.1.1512	0.81	0.92
PI656030.C57CTACXX.2.2338	0.74	0.9
PI656031.C57CTACXX.2.1728	0.48	0.63
PI656032.C57CTACXX.2.2080	0.72	0.81
PI656033.C57CTACXX.2.1884	0.8	0.9
PI656034.C57CTACXX.2.1574	0.6	0.74
PI656037.C57CTACXX.2.1754	0.51	0.7
PI656038.C57CTACXX.2.2010	0.88	0.94
PI656039.C57CTACXX.9.12712	0.6	0.76
PI656040.C57CTACXX.9.12476	0.63	0.81
PI656041.C57CTACXX.2.2028	0.54	0.9
PI656042.MERGE	0.6	0.72
PI656043.C57CTACXX.2.2385	0.48	0.65
PI656044.MERGE	0.6	0.78
PI656046.C57CTACXX.2.1860	0.68	0.9
PI656047.C57CTACXX.2.1954	0.51	0.6
PI656048.C57CTACXX.8.11513	0.57	0.8
PI656049.C57CTACXX.2.2341	0.6	0.76
PI656051.C57CTACXX.2.1569	0.51	0.72
PI656052.C57CTACXX.2.2320	0.7	0.74
PI656053.C57CTACXX.1.1434	0.65	0.76
PI656054.C57CTACXX.9.12304	0.63	0.68
PI656055.C57CTACXX.2.1941	0.63	0.94
PI656056.MERGE	0.48	0.74
PI656057.MERGE	0.6	0.76
PI656058.C57CTACXX.2.2294	0.76	0.81
PI656060.C57CTACXX.9.12375	0.76	0.92
PI656065.MERGE	0.76	0.9
PI656068.C57CTACXX.2.2388	0.57	0.78
PI656069.C57CTACXX.2.2214	0.48	0.72
PI656070.MERGE	0.6	0.78
PI656071.C57CTACXX.4.5310	0.63	0.81
PI656072.C57CTACXX.3.3400	0.6	0.7
PI656075.C57CTACXX.3.3699	0.63	0.78
PI656076.C57CTACXX.4.4659	0.54	0.81
PI656077.C57CTACXX.3.3756	0.83	0.93
PI656079.C57CTACXX.3.3494	0.7	0.93
PI656080.C57CTACXX.2.1981	0.74	0.92
PI656081.C57CTACXX.2.2143	0.51	0.78
PI656082.C57CTACXX.4.4615	0.7	0.88
PI656083.C57CTACXX.2.2001	0.68	0.8
PI656085.C57CTACXX.4.5437	0.72	0.92
PI656086.C57CTACXX.2.2208	0.78	0.95
PI656087.C57CTACXX.2.2368	0.74	0.89
PI656088.C57CTACXX.1.1468	0.76	0.85
PI656089.C57CTACXX.2.1643	0.78	0.94
PI656091.C57CTACXX.8.11637	0.7	0.83
PI656093.C57CTACXX.8.11748	0.6	0.8
PI656095.C57CTACXX.8.11158	0.74	0.92
PI656096.C57CTACXX.8.11044	0.51	0.8
PI656097.C57CTACXX.3.4276	0.48	0.72
PI656099.C57CTACXX.8.11629	0.57	0.78
PI656100.C57CTACXX.8.11624	0.8	0.88
PI656104.C57CTACXX.2.2893	0.78	0.98
PI656105.C57CTACXX.3.3697	0.72	0.92
PI656106.C57CTACXX.3.3129	0.63	0.83
PI656108.C57CTACXX.3.3095	0.76	0.86
PI656109.C57CTACXX.8.12203	0.8	0.99
PI656110.C57CTACXX.8.11659	0.81	1
PI656111.MERGE	0.74	0.81
PI656115.MERGE	0.81	0.98
PI656116.C57CTACXX.4.4742	0.8	0.95
PI656118.C57CTACXX.3.4266	0.72	0.88
PI656121.MERGE	0.65	0.86
PI659692.C57CTACXX.3.4166	0.48	0.88
PI659695.C57CTACXX.4.5411	0.74	0.88
PI659753.C57CTACXX.3.4411	0.48	0.6
SAP_Grif578	0.65	0.78
SAP_PI264453	0.8	0.9
SAP_PI533934	0.7	0.86
SAP_PI550607	0.6	0.83
SAP_PI607900	0.65	0.85
SAP_PI644294	0.7	0.86
SAP_PI675167	0.65	0.85
