Taxa	Log_D1_2019&2020AC	Log_D2_2019&2020AC
PI576428.C57CTACXX.3.3834	2.21	2.82
PI576434.MERGE	2.75	2.89
PI576435.C57CTACXX.3.3429	2.84	2.94
PI585291.C57CTACXX.2.1772	2.58	2.73
PI595699.C57CTACXX.2.2555	2.77	2.79
PI595714.C57CTACXX.3.3563	2.93	2.64
PI595718.C57CTACXX.2.2920	2.98	2.73
PI595720.C57CTACXX.3.3529	2.88	2.8
PI595739.C57CTACXX.3.3218	2.81	2.85
PI595740.C57CTACXX.4.5730	2.95	2.66
PI595741.C57CTACXX.2.2435	2.87	2.65
PI595744.C57CTACXX.3.3344	2.65	2.73
PI597945.C57CTACXX.3.3466	2.87	0
PI597949.C57CTACXX.3.3620	2.53	2.73
PI597952.C57CTACXX.2.2441	2.86	2.8
PI597957.C57CTACXX.3.3617	3.1	2.89
PI597958.C57CTACXX.2.1721	2.88	2.46
PI597961.C57CTACXX.3.3100	3.1	2.88
PI597964.C57CTACXX.2.2423	2.17	2.43
PI597965.MERGE	2.77	2.79
PI597966.C57CTACXX.2.2952	3.12	2.32
PI597968.C57CTACXX.2.3017	2.52	1.67
PI597971.C57CTACXX.4.4912	1.96	2.9
PI597973.C57CTACXX.3.3319	3.05	2.74
PI597980.MERGE	3.07	2.8
PI601816.C57CTACXX.2.1647	2.84	2.99
PI609456.C57CTACXX.4.5670	2.97	2.79
PI613536.C57CTACXX.8.11153	2.76	2.65
PI629034.C57CTACXX.1.1329	2.49	2.79
PI629040.C57CTACXX.2.2149	2.81	2.8
PI629059.MERGE	2.78	2.84
PI641824.MERGE	2.95	2.79
PI641874.C57CTACXX.4.5289	2.97	2.49
PI642791.MERGE	2.98	2.65
PI642992.C57CTACXX.2.1875	2.68	2.71
PI651492.C57CTACXX.4.5162	2.25	2.57
PI651496.MERGE	2.95	2.67
PI655970.MERGE	2.94	2.84
PI655971.C57CTACXX.4.5812	2.81	1.29
PI655973.C57CTACXX.2.2002	3.11	2.74
PI655974.C57CTACXX.2.1795	2.94	2.76
PI655975.C57CTACXX.4.5204	2.89	2.84
PI655976.C57CTACXX.1.1431	3.02	2.88
PI655978.MERGE	2.84	1.7
PI655979.MERGE	2.75	2.84
PI655982.C57CTACXX.4.4672	2.66	2.14
