Taxa	FLoweringtime
PI601816.C57CTACXX.2.1647	1.83
PI609456.C57CTACXX.4.5670	1.96
PI613536.C57CTACXX.8.11153	1.74
PI629034.C57CTACXX.1.1329	1.79
PI629040.C57CTACXX.2.2149	1.81
PI629059.MERGE	1.79
PI641824.MERGE	1.8
PI641874.C57CTACXX.4.5289	1.79
PI642791.MERGE	1.78
PI642992.C57CTACXX.2.1875	1.75
PI651492.C57CTACXX.4.5162	1.9
PI651496.MERGE	1.9
PI655970.MERGE	1.74
PI655971.C57CTACXX.4.5812	1.72
PI655973.C57CTACXX.2.2002	1.69
PI655974.C57CTACXX.2.1795	1.79
PI655975.C57CTACXX.4.5204	1.7
PI655976.C57CTACXX.1.1431	1.71
PI655978.MERGE	1.75
PI655979.MERGE	1.76
PI655982.C57CTACXX.4.4672	1.77
PI655984.C57CTACXX.2.2317	1.73
PI655985.C57CTACXX.1.1472	1.72
PI655986.C57CTACXX.2.2316	1.73
PI655987.C57CTACXX.8.11105	1.71
PI655988.C57CTACXX.2.1752	1.74
PI655989.C57CTACXX.2.1788	1.72
PI655991.C57CTACXX.2.1609	1.75
PI655992.C57CTACXX.2.1664	1.75
PI655995.C57CTACXX.2.1924	1.79
PI655997.C57CTACXX.2.2206	1.79
PI655998.C57CTACXX.8.12268	1.75
PI656001.C57CTACXX.2.2394	1.82
PI656002.C57CTACXX.9.12342	1.75
PI656003.C57CTACXX.2.2116	1.76
PI656004.C57CTACXX.4.5246	1.87
PI656006.MERGE	1.79
PI656007.C57CTACXX.9.12445	1.77
PI656008.C57CTACXX.9.12369	1.81
PI656009.MERGE	1.83
PI656010.C57CTACXX.2.2309	1.82
PI656011.C57CTACXX.2.1648	1.81
PI656013.C57CTACXX.1.1483	1.77
PI656014.C57CTACXX.2.1789	1.79
PI656015.MERGE	1.77
PI656016.C57CTACXX.1.1519	1.78
PI656018.C57CTACXX.2.1980	1.74
PI656019.C57CTACXX.2.2173	1.7
PI656022.C57CTACXX.1.1481	1.76
PI656024.C57CTACXX.3.4395	1.85
PI656025.MERGE	1.72
PI656026.MERGE	1.82
PI656027.C57CTACXX.2.1740	1.84
PI656028.C57CTACXX.1.1512	1.74
PI656030.C57CTACXX.2.2338	1.67
PI656031.C57CTACXX.2.1728	1.77
PI656032.C57CTACXX.2.2080	1.82
PI656033.C57CTACXX.2.1884	1.8
PI656034.C57CTACXX.2.1574	1.82
PI656037.C57CTACXX.2.1754	1.78
PI656038.C57CTACXX.2.2010	1.84
PI656039.C57CTACXX.9.12712	1.83
PI656040.C57CTACXX.9.12476	1.82
PI656041.C57CTACXX.2.2028	1.81
PI656042.MERGE	1.79
PI656043.C57CTACXX.2.2385	1.86
PI656044.MERGE	1.85
PI656046.C57CTACXX.2.1860	1.75
PI656047.C57CTACXX.2.1954	1.85
PI656048.C57CTACXX.8.11513	1.81
PI656049.C57CTACXX.2.2341	1.75
PI656051.C57CTACXX.2.1569	1.86
PI656052.C57CTACXX.2.2320	1.75
PI656053.C57CTACXX.1.1434	1.8
PI656054.C57CTACXX.9.12304	1.91
PI656055.C57CTACXX.2.1941	1.84
PI656056.MERGE	1.81
PI656057.MERGE	1.91
PI656058.C57CTACXX.2.2294	1.75
PI656060.C57CTACXX.9.12375	1.72
PI656065.MERGE	1.76
PI656068.C57CTACXX.2.2388	1.83
PI656069.C57CTACXX.2.2214	1.87
PI656070.MERGE	1.83
PI656071.C57CTACXX.4.5310	1.83
PI656072.C57CTACXX.3.3400	1.93
PI656075.C57CTACXX.3.3699	1.8
PI656076.C57CTACXX.4.4659	1.8
PI656077.C57CTACXX.3.3756	1.69
PI656079.C57CTACXX.3.3494	1.79
PI656080.C57CTACXX.2.1981	1.75
PI656081.C57CTACXX.2.2143	1.64
