Taxa	nSpad
PI655976.C57CTACXX.1.1431	0
PI655978.MERGE	0
PI655979.MERGE	3
PI655982.C57CTACXX.4.4672	1
PI655984.C57CTACXX.2.2317	0
PI655985.C57CTACXX.1.1472	3
PI655986.C57CTACXX.2.2316	3
PI655987.C57CTACXX.8.11105	2
PI655988.C57CTACXX.2.1752	0
PI655989.C57CTACXX.2.1788	NA
PI655991.C57CTACXX.2.1609	2
PI655992.C57CTACXX.2.1664	2
PI655995.C57CTACXX.2.1924	1
PI655997.C57CTACXX.2.2206	0
PI655998.C57CTACXX.8.12268	2
PI656001.C57CTACXX.2.2394	NA
PI656002.C57CTACXX.9.12342	3
PI656003.C57CTACXX.2.2116	2
PI656004.C57CTACXX.4.5246	1
PI656006.MERGE	0
PI656007.C57CTACXX.9.12445	0
PI656008.C57CTACXX.9.12369	2
PI656009.MERGE	0
PI656010.C57CTACXX.2.2309	0
PI656011.C57CTACXX.2.1648	1
PI656013.C57CTACXX.1.1483	1
PI656014.C57CTACXX.2.1789	1
PI656015.MERGE	1
PI656016.C57CTACXX.1.1519	NA
PI656018.C57CTACXX.2.1980	0
PI656019.C57CTACXX.2.2173	3
PI656022.C57CTACXX.1.1481	4
PI656024.C57CTACXX.3.4395	0
PI656025.MERGE	0
PI656026.MERGE	3
PI656027.C57CTACXX.2.1740	2
PI656028.C57CTACXX.1.1512	6
PI656030.C57CTACXX.2.2338	0
PI656031.C57CTACXX.2.1728	5
PI656032.C57CTACXX.2.2080	1
PI656033.C57CTACXX.2.1884	2
PI656034.C57CTACXX.2.1574	0
PI656037.C57CTACXX.2.1754	0
PI656038.C57CTACXX.2.2010	1
PI656039.C57CTACXX.9.12712	0
PI656040.C57CTACXX.9.12476	1
PI656041.C57CTACXX.2.2028	0
PI656042.MERGE	3
PI656043.C57CTACXX.2.2385	1
PI656044.MERGE	1
PI656046.C57CTACXX.2.1860	1
PI656047.C57CTACXX.2.1954	7
PI656048.C57CTACXX.8.11513	1
PI656049.C57CTACXX.2.2341	7
PI656051.C57CTACXX.2.1569	4
PI656052.C57CTACXX.2.2320	3
PI656053.C57CTACXX.1.1434	6
PI656054.C57CTACXX.9.12304	1
PI656055.C57CTACXX.2.1941	0
PI656056.MERGE	0
PI656057.MERGE	5
PI656058.C57CTACXX.2.2294	6
PI656060.C57CTACXX.9.12375	6
PI656065.MERGE	7
PI656068.C57CTACXX.2.2388	9
PI656069.C57CTACXX.2.2214	3
PI656070.MERGE	3
PI656071.C57CTACXX.4.5310	6
PI656072.C57CTACXX.3.3400	5
